stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\breton\OneDrive\Desktop\2023 Spring 2B\Intro to Programming II\Projects\Mini Project 2\Tower_Defence\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04376] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04377] added dtor for sample_instance 00000000085B6F30, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04377] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04377] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04378] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04378] added dtor for sample_instance 00000000085B7170, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04379] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04379] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04379] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04380] added dtor for sample_instance 00000000085B6510, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04380] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04381] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04381] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04381] added dtor for sample_instance 00000000085B5D30, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04382] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04383] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04383] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04384] added dtor for sample_instance 00000000085B6630, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04384] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04384] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04385] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04385] added dtor for sample_instance 00000000085B5310, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04386] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04386] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04386] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04387] added dtor for sample_instance 00000000085B5430, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04388] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04388] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04389] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04389] added dtor for sample_instance 00000000085B61B0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04395] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04396] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04396] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04396] added dtor for sample_instance 00000000085B5F70, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04397] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04397] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04398] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04398] added dtor for sample_instance 00000000085B5550, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04398] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04399] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04399] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04400] added dtor for sample_instance 00000000085B5670, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04400] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04400] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04401] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04401] added dtor for sample_instance 00000000085B5790, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04402] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04402] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04402] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04403] added dtor for sample_instance 00000000085B5AF0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04403] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04404] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04404] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04404] added dtor for sample_instance 00000000085B5C10, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04405] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04405] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04406] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04406] added dtor for sample_instance 00000000085B5E50, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04406] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04407] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04407] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04408] added dtor for sample_instance 00000000085B83B0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04409] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04409] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04409] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04410] added dtor for sample_instance 00000000085B8DD0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04410] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04410] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04411] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04411] added dtor for sample_instance 00000000085B97F0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04412] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04412] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04413] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04413] added dtor for sample_instance 00000000085B9910, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04413] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04414] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04414] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04415] added dtor for sample_instance 00000000085B9B50, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04415] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04415] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04416] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04416] added dtor for sample_instance 00000000085B9A30, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04416] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04417] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04417] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04418] added dtor for sample_instance 00000000085B9EB0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04418] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04418] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04419] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04419] added dtor for sample_instance 00000000085B95B0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04420] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04420] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04420] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04421] added dtor for sample_instance 00000000085B8EF0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04421] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04422] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04422] 
